left,right,proposal_kind,strength,dose,metric,left_support,right_support,joint_support,interaction,full,without_left,without_right,without_both,left_conditional,right_conditional,case_id,source_id,side,panel,opposed_finite_effects,left_direction_changes,right_direction_changes,nonadditive_effect,small_singles_large_joint,numeric_control_status
L17H18Q468S467,L14H26Q261S260,opposed,0.8902066946029663,1.0,sequence_margin,1.1189868807939316,-1.5356520488155692,-0.4040728486708413,-0.0125923193507961,7.643988308470591,6.52500142767666,9.17964035728616,8.048061157141433,1.1315792001447278,-1.523059729464773,14315_headwear_scope,14315,supported,natural,True,False,False,False,False,joint_sham_not_saved_in_v3
L17H18Q468S467,L0H3Q257S256,co_support,0.8389962911605835,1.0,sequence_margin,1.1189868807939316,0.5168953089169568,1.665386578048956,-0.0295043883380676,7.643988308470591,6.52500142767666,7.127092999553635,5.978601730421636,1.1484912691319993,0.5463996972550245,14315_headwear_scope,14315,supported,natural,False,False,False,False,False,joint_sham_not_saved_in_v3
L14H26Q261S260,L16H22Q262S260,co_suppress,0.8197564482688904,1.0,sequence_margin,-1.5356520488155692,-1.0911518846685002,-3.0180513919067256,0.3912474584226562,7.643988308470591,9.17964035728616,8.735140193139092,10.662039700377315,-1.926899507238225,-1.4823993430911564,14315_headwear_scope,14315,supported,natural,False,False,False,True,False,joint_sham_not_saved_in_v3
L14H26Q261S260,L0H3Q257S256,opposed,0.8389962911605835,1.0,sequence_margin,-1.5356520488155692,0.5168953089169568,-0.8948005944278705,-0.1239561454707418,7.643988308470591,9.17964035728616,7.127092999553635,8.538788902898462,-1.4116959033448273,0.6408514543876986,14315_headwear_scope,14315,supported,natural,True,False,False,True,False,joint_sham_not_saved_in_v3
L14H26Q260S259,L12H12Q469S469,opposed,0.6770676970481873,1.0,sequence_margin,0.4677780836244998,-0.5166638082540977,0.016281683109419,-0.0651674077390169,-0.1300597375799599,-0.5978378212044597,0.3866040706741378,-0.1463414206893789,0.5329454913635168,-0.4514964005150808,14315_headwear_scope,14315,supported,parallel_singular,True,False,False,True,False,joint_sham_not_saved_in_v3
L14H26Q260S259,L13H1Q469S393,co_support,0.6542611718177795,1.0,sequence_margin,0.4677780836244998,0.6515563323795224,1.202721157055389,-0.0833867410513669,-0.1300597375799599,-0.5978378212044597,-0.7816160699594823,-1.332780894635349,0.5511648246758667,0.7349430734308893,14315_headwear_scope,14315,supported,parallel_singular,False,False,False,True,False,joint_sham_not_saved_in_v3
L31H14Q469S469,L12H12Q469S469,co_suppress,1.1694411039352417,1.0,sequence_margin,-0.9210872650146475,-0.5166638082540977,-1.2310555166281212,-0.2066955566406241,-0.1300597375799599,0.7910275274346876,0.3866040706741378,1.1009957790481613,-0.7143917083740234,-0.3099682516134736,14315_headwear_scope,14315,supported,parallel_singular,False,False,False,True,False,joint_sham_not_saved_in_v3
L12H12Q469S469,L16H30Q469S469,co_suppress,0.8492611646652222,1.0,sequence_margin,-0.5166638082540977,-1.0893481054491114,-2.500779730472318,0.8947678167691087,-0.1300597375799599,0.3866040706741378,0.9592883678691516,2.370719992892358,-1.4114316250232064,-1.98411592221822,14315_headwear_scope,14315,supported,parallel_singular,False,False,False,True,False,joint_sham_not_saved_in_v3
L6H12Q468S459,L21H7Q468S467,opposed,0.702196478843689,1.0,sequence_margin,0.897127096262567,-0.7487696969472655,0.2084585592672878,-0.0601011599519862,-4.697483304481864,-5.594610400744431,-3.9487136075345983,-4.905941863749152,0.9572282562145532,-0.6886685369952792,14315_headwear_scope,14315,unsupported,natural,True,False,False,True,False,joint_sham_not_saved_in_v3
L6H12Q468S459,L14H26Q256S255,co_support,0.6952248215675354,1.0,sequence_margin,0.897127096262567,-0.8979342287037397,-0.0611340427725961,0.0603269103314234,-4.697483304481864,-5.594610400744431,-3.799549075778124,-4.636349261709268,0.8368001859311436,-0.9582611390351632,14315_headwear_scope,14315,unsupported,natural,True,False,False,True,False,joint_sham_not_saved_in_v3
