id,source_id,error_start,normal_start,side,phase,mean,alarm
12045,14323,91,48,error,before8,-2.848091742025822,False
12045,14323,91,48,error,onset,-1.3103959799500178,False
12045,14323,91,48,error,first4,-0.06667098370628693,True
12045,14323,91,48,error,span,-0.8143841540817609,True
12045,14323,91,48,normal,before8,-3.5797999985306492,False
12045,14323,91,48,normal,onset,-2.5519634500271726,False
12045,14323,91,48,normal,first4,-3.6324260308045453,False
12045,14323,91,48,normal,span,-3.648400268043209,False
12219,14353,218,197,error,before8,-3.2583680228694227,False
12219,14353,218,197,error,onset,-3.378915541604838,False
12219,14353,218,197,error,first4,-2.615876584333879,False
12219,14353,218,197,error,span,-3.354203578533488,False
12219,14353,218,197,normal,before8,-3.2790367582126736,False
12219,14353,218,197,normal,onset,-3.983896768230621,False
12219,14353,218,197,normal,first4,-2.89702781881748,False
12219,14353,218,197,normal,span,-3.0672303362464293,False
12261,14360,241,208,error,before8,-4.099058954035695,False
12261,14360,241,208,error,onset,0.3148461243037975,True
12261,14360,241,208,error,first4,0.021387674705483042,True
12261,14360,241,208,error,span,1.0099459079688464,True
12261,14360,241,208,normal,before8,-3.3845233627100253,False
12261,14360,241,208,normal,onset,-2.984048448176113,False
12261,14360,241,208,normal,first4,-3.6703846662323385,False
12261,14360,241,208,normal,span,-3.762566621082975,False
12345,14375,286,226,error,before8,-2.007207278887985,True
12345,14375,286,226,error,onset,-4.35741375944622,False
12345,14375,286,226,error,first4,-3.585029145234103,False
12345,14375,286,226,error,span,-2.582441212586467,True
12345,14375,286,226,normal,before8,-3.7039659655647323,False
12345,14375,286,226,normal,onset,-4.08461505444554,False
12345,14375,286,226,normal,first4,-3.3131849566796125,False
12345,14375,286,226,normal,span,-3.5982185451205346,False
12459,14394,50,30,error,before8,-3.496448465090619,False
12459,14394,50,30,error,onset,-1.8663851588533675,False
12459,14394,50,30,error,first4,-2.142811072548989,False
12459,14394,50,30,error,span,1.7673551852457128,True
12459,14394,50,30,normal,before8,-4.3731098213511475,False
12459,14394,50,30,normal,onset,-3.3226843944339217,False
12459,14394,50,30,normal,first4,-4.616091481098402,False
12459,14394,50,30,normal,span,-3.567036932227804,False
12459,14394,81,90,error,before8,-3.4789687264028206,False
12459,14394,81,90,error,onset,-1.8744919287572064,False
12459,14394,81,90,error,first4,0.2678696356949729,True
12459,14394,81,90,error,span,0.2678696356949729,True
12459,14394,81,90,normal,before8,-1.368182424186385,True
12459,14394,81,90,normal,onset,-3.8959025956876334,False
12459,14394,81,90,normal,first4,-3.478550050319268,False
12459,14394,81,90,normal,span,-3.478550050319268,False
12471,14396,27,14,error,before8,-4.393780831250645,False
12471,14396,27,14,error,onset,-3.8871678794244495,False
12471,14396,27,14,error,first4,-3.6770339049627996,False
12471,14396,27,14,error,span,-2.946403320634857,False
12471,14396,27,14,normal,before8,-5.023561665793095,False
12471,14396,27,14,normal,onset,-4.394444924986804,False
12471,14396,27,14,normal,first4,-3.5050018117798096,False
12471,14396,27,14,normal,span,-3.8384744103942485,False
12471,14396,78,176,error,before8,-3.126290303425264,False
12471,14396,78,176,error,onset,-1.7847468418202186,False
12471,14396,78,176,error,first4,-2.239093557024388,False
12471,14396,78,176,error,span,-2.6812356639687254,False
12471,14396,78,176,normal,before8,-4.074028862098511,False
12471,14396,78,176,normal,onset,-3.292052841898539,False
12471,14396,78,176,normal,first4,-4.236371543369123,False
12471,14396,78,176,normal,span,-3.6727044082720486,False
12693,14433,111,99,error,before8,-2.9421442165960845,False
12693,14433,111,99,error,onset,-1.6687142674388695,False
12693,14433,111,99,error,first4,-0.5890923998813398,True
12693,14433,111,99,error,span,-1.011643883311402,True
12693,14433,111,99,normal,before8,-2.19517876849937,False
12693,14433,111,99,normal,onset,-1.857177532442449,False
12693,14433,111,99,normal,first4,-2.3123409154294725,False
