id,source_id,onset,length,answer_first,run_onset,clean_before,before_available,before_alarm,before_mean,onset_score,onset_alarm,first4_available,first4_alarm,first4_sustained,first_alarm_offset,span_alarm
12045,14323,91,15,True,True,True,True,False,-2.848091742025822,-1.3103959799500178,False,True,True,False,2,True
12045,14323,126,53,False,True,True,True,True,0.723683885755178,-0.1542498139870518,False,True,True,False,3,True
12219,14353,218,13,True,True,True,True,False,-3.2583680228694227,-3.378915541604838,False,True,False,False,-1,False
12261,14360,19,52,True,True,True,True,False,-3.730895527785634,-3.1394260569959744,False,True,False,False,22,True
12261,14360,241,30,False,True,True,True,False,-4.099058954035695,0.3148461243037975,True,True,True,False,0,True
12297,14366,59,49,True,True,True,True,False,-4.003924078992348,-4.076558486573994,False,True,False,False,-1,False
12345,14375,286,45,True,True,True,True,True,-2.007207278887985,-4.35741375944622,False,True,False,False,12,True
12435,14390,31,13,True,True,True,True,False,-3.2684265773308776,-5.569248309547898,False,True,False,False,-1,False
12459,14394,50,10,True,True,True,True,False,-3.496448465090619,-1.8663851588533675,False,True,False,False,5,True
12459,14394,81,4,False,True,True,True,False,-3.4789687264028206,-1.8744919287572064,False,True,True,False,1,True
12471,14396,27,11,True,True,True,True,False,-4.393780831250645,-3.8871678794244495,False,True,False,False,-1,False
12471,14396,78,13,False,True,True,True,False,-3.126290303425264,-1.7847468418202186,False,True,False,False,-1,False
12693,14433,111,8,True,True,True,True,False,-2.9421442165960845,-1.6687142674388695,False,True,True,False,2,True
12765,14445,175,11,True,True,True,True,False,-2.211914839754411,-1.1799088551771677,False,True,True,True,1,True
12903,14468,302,88,True,True,True,True,False,-3.01556564713565,-4.77753546568646,False,True,False,False,23,True
13107,15103,260,11,True,True,True,True,False,-1.9548783437694626,1.795355478948557,True,True,True,False,0,True
13137,15108,172,70,True,True,True,True,False,-3.564002771006981,-1.3601724354314286,False,True,True,False,3,True
13137,15108,277,43,False,True,True,True,False,-2.7899314775383326,-2.2551444803372807,False,True,True,False,2,True
13137,15108,379,6,False,True,True,True,False,-4.2099945831646375,-1.0864365313966076,False,True,True,False,2,True
13155,15111,15,37,True,True,True,True,False,-4.785657407240915,-3.8746793396539694,False,True,False,False,4,True
13155,15111,123,4,False,True,True,True,False,-3.282336770427508,-1.2913420040139112,False,True,False,False,-1,False
13155,15111,132,33,False,True,False,True,False,-2.84196390662981,-0.8452926422637959,False,True,False,False,5,True
13155,15111,165,34,False,False,False,True,True,0.14029928042223438,-0.033288641235408,False,True,False,False,4,True
13161,15112,179,32,True,True,True,True,False,-3.4662969613644767,2.954796119674236,True,True,True,False,0,True
13161,15112,239,39,False,True,True,True,True,1.496340766909277,2.9075776702560514,True,True,True,True,0,True
13161,15112,280,30,False,True,False,True,True,0.5101138041172864,2.4998008566829584,True,True,True,False,0,True
13161,15112,327,5,False,True,True,True,True,-2.038647573836582,3.2520356763570337,True,True,True,False,0,True
13263,15130,93,17,True,True,True,True,False,-1.3256683075029878,-1.5064834710790131,False,True,False,False,8,True
13293,15135,59,9,True,True,True,True,False,-3.7483381071115476,-3.3690277836551803,False,True,True,False,3,True
13917,15239,25,10,True,True,True,True,True,-3.0738363714504153,-2.7170030946671595,False,True,False,False,-1,False
13917,15239,95,23,False,True,True,True,False,-2.8575256948815833,-4.620328120386369,False,True,False,False,-1,False
14007,15254,129,5,True,True,True,True,False,-4.326786807827106,-2.484815604410593,False,True,True,False,1,True
14097,15269,59,13,True,True,True,True,False,-4.39898084869068,-0.2741796757348783,False,True,True,False,1,True
14133,15275,25,20,True,True,True,True,False,-2.480567925355458,-2.351892985744249,False,True,True,True,1,True
14133,15275,45,23,False,False,False,True,False,-1.647652384357087,-1.6558383986443594,False,True,False,False,4,True
14133,15275,126,12,False,True,True,True,True,-1.4776841504010103,-1.7714424705809892,False,True,True,False,3,True
14133,15275,145,12,False,True,False,True,True,-2.0324581324235043,-1.8847443851040415,False,True,False,False,5,True
14283,15300,147,19,True,True,True,True,False,-3.1428785468018168,-1.178691281408133,False,True,False,False,6,True
14283,15300,218,17,False,True,True,True,False,-1.8448323853096036,-1.356008215410649,False,True,False,False,6,True
14295,15302,151,16,True,True,True,True,False,-3.2558096384957365,-2.5673439794746096,False,True,True,False,3,True
14397,15320,91,6,True,True,True,True,False,-4.702128508508457,-2.650730889386596,False,True,False,False,-1,False
